integration,status,passed,failed,errors,skipped,duration_s,dominant_bucket
starlink,pass,8,0,0,0,2.69,
statistics,pass,56,0,0,0,4.17,
steam_online,pass,14,0,0,0,2.48,
steamist,pass,23,0,0,0,2.93,
stiebel_eltron,pass,9,0,0,0,2.75,
stookwijzer,pass,12,0,0,0,2.61,
streamlabswater,pass,6,0,0,0,2.38,
subaru,pass,59,0,0,0,4.58,
suez_water,pass,19,0,0,0,4.18,
sun,pass,27,0,0,1,4.86,
sunricher_dali,pass,50,0,0,0,5.83,
sunweg,pass,1,0,0,0,2.23,
surepetcare,pass,15,0,0,0,2.74,
swiss_public_transport,pass,36,0,0,0,3.10,
switch_as_x,pass,176,0,0,0,10.02,
switchbee,pass,6,0,0,0,2.34,
switchbot,issues,352,1,0,0,19.66,
switchbot_cloud,pass,134,0,0,0,10.81,
switcher_kis,issues,76,1,0,0,7.69,
syncthing,pass,5,0,0,0,2.30,
syncthru,pass,9,0,0,0,2.59,
system_bridge,pass,39,0,0,0,4.46,
systemmonitor,issues,34,2,0,0,4.87,
systemnexa2,pass,34,0,0,0,3.57,
tado,pass,40,0,0,0,4.67,
tailscale,pass,14,0,0,0,2.75,
tailwind,pass,36,0,0,0,3.30,
tami4,pass,14,0,0,0,2.56,
tankerkoenig,issues,20,1,0,0,2.84,
tautulli,pass,8,0,0,0,2.35,
technove,pass,40,0,0,0,3.71,
tedee,pass,41,0,0,0,4.48,
telegram_bot,pass,123,0,0,0,13.16,
teleinfo,pass,24,0,0,0,3.22,
tellduslive,pass,15,0,0,0,2.41,
teltonika,pass,50,0,0,0,3.79,
template,pass,2470,0,0,0,60.07,
tesla_fleet,pass,153,0,0,0,12.29,
tesla_wall_connector,pass,12,0,0,0,2.47,
teslemetry,pass,158,0,0,0,16.84,
tessie,pass,67,0,0,0,4.46,
thermobeacon,pass,11,0,0,0,2.72,
thermopro,pass,18,0,0,0,3.01,
thethingsnetwork,pass,8,0,0,0,2.40,
thread,pass,65,0,0,0,4.17,
threshold,pass,114,0,0,0,4.14,
tibber,pass,92,0,0,0,13.32,
tile,pass,11,0,0,0,2.50,
tilt_ble,pass,11,0,0,0,2.79,
tilt_pi,pass,6,0,0,0,2.43,
time_date,pass,18,0,0,0,2.78,
tod,pass,32,0,0,0,3.25,
todoist,pass,50,0,0,0,4.23,
togrill,pass,62,0,0,0,5.73,
tolo,pass,7,0,0,0,2.35,
tomorrowio,pass,21,0,0,0,3.08,
toon,pass,10,0,0,0,2.71,
totalconnect,pass,66,0,0,0,11.65,
touchline,pass,8,0,0,0,2.52,
touchline_sl,pass,15,0,0,0,2.71,
tplink_omada,issues,52,1,0,0,4.67,
traccar,pass,5,0,0,1,2.90,
traccar_server,pass,12,0,0,0,2.88,
tractive,issues,48,1,0,0,4.03,
tradfri,pass,91,0,0,0,6.36,
trafikverket_ferry,pass,13,0,0,0,2.52,
trafikverket_train,pass,41,0,0,0,3.14,
trafikverket_weatherstation,pass,16,0,0,0,2.53,
trane,pass,39,0,0,0,3.98,
transmission,pass,75,0,0,0,4.60,
trend,pass,39,0,0,0,3.25,
triggercmd,pass,5,0,0,0,2.37,
trmnl,pass,36,0,0,0,3.72,
twentemilieu,pass,17,0,0,0,2.87,
twilio,pass,1,0,0,0,2.57,
twinkly,issues,25,1,0,0,4.12,
twitch,pass,16,0,0,0,4.22,
uhoo,pass,24,0,0,0,2.99,
ukraine_alarm,pass,11,0,0,0,2.43,
unifi,issues,158,1,0,0,12.39,
unifi_access,pass,155,0,0,0,10.85,
upb,pass,6,0,0,0,2.42,
upcloud,pass,6,0,0,0,2.35,
upnp,pass,23,0,0,0,3.83,
uptime,pass,4,0,0,0,2.36,
uptime_kuma,pass,38,0,0,0,3.58,
uptimerobot,pass,35,0,0,0,3.18,
utility_meter,issues,94,1,0,0,6.00,
v2c,issues,12,1,0,0,2.86,
vallox,pass,76,0,0,0,5.65,
vegehub,pass,18,0,0,0,2.92,
velbus,issues,57,1,0,0,8.99,
velux,pass,80,0,0,0,4.86,
venstar,pass,12,0,0,0,2.56,
vera,pass,29,0,0,0,3.08,
version,pass,10,0,0,0,2.55,
vesync,pass,175,0,0,0,12.54,
vicare,issues,54,1,0,0,4.48,
victron_ble,pass,34,0,0,0,3.61,
victron_gx,pass,62,0,0,0,14.13,
victron_remote_monitoring,pass,22,0,0,0,3.03,
vilfo,pass,9,0,0,0,2.46,
vizio,pass,73,0,0,0,4.50,
vlc_telnet,pass,39,0,0,0,3.40,
vodafone_station,issues,53,1,0,0,4.60,
volumio,pass,9,0,0,0,2.29,
volvo,pass,110,0,0,0,8.64,
volvooncall,pass,4,0,0,0,2.20,
wake_on_lan,pass,15,0,0,0,2.50,
wallbox,pass,38,0,0,0,3.67,
waqi,pass,20,0,0,0,2.63,
waterfurnace,pass,77,0,0,0,11.93,
watergate,pass,16,0,0,0,3.04,
watts,issues,51,1,0,0,5.17,
watttime,issues,11,1,0,0,2.56,
waze_travel_time,pass,23,0,0,0,14.84,
weatherflow,pass,5,0,0,0,2.95,
weatherflow_cloud,pass,17,0,0,0,3.12,
weatherkit,pass,35,0,0,0,2.92,
webdav,pass,25,0,0,0,3.90,
webmin,issues,11,1,0,0,2.52,
webostv,issues,82,1,0,0,12.04,
weheat,pass,16,0,0,0,2.85,
wemo,pass,93,0,0,0,6.71,
whirlpool,issues,239,1,0,0,12.16,
whois,pass,41,0,0,0,3.40,
wiffi,pass,4,0,0,0,2.19,
wiim,pass,29,0,0,0,3.02,
wilight,pass,22,0,0,0,2.82,
withings,pass,62,0,0,0,8.01,
wiz,pass,56,0,0,0,4.34,
wled,pass,100,0,0,0,7.60,
wmspro,pass,39,0,0,0,4.04,
wolflink,pass,10,0,0,0,2.49,
workday,issues,70,1,0,0,6.14,
worldclock,pass,6,0,0,0,2.42,
ws66i,pass,24,0,0,0,3.12,
wsdot,pass,16,0,0,0,2.66,
xbox,pass,203,0,0,0,14.92,
xiaomi_aqara,pass,12,0,0,0,2.46,
xiaomi_ble,pass,92,0,0,0,6.22,
xiaomi_miio,pass,51,0,0,0,4.11,
xthings_cloud,pass,30,0,0,0,3.72,
yale_smart_alarm,pass,37,0,0,0,3.71,
yalexs_ble,pass,26,0,0,0,3.32,
yamaha_musiccast,pass,9,0,0,0,2.52,
yardian,pass,16,0,0,0,2.79,
yeelight,pass,62,0,0,0,4.73,
yolink,pass,10,0,0,0,3.10,
youless,pass,4,0,0,0,2.41,
youtube,pass,24,0,0,0,3.38,
zamg,pass,9,0,0,0,2.52,
zerproc,pass,10,0,0,0,2.49,
zeversolar,pass,10,0,0,0,2.46,
zha,issues,339,1,0,4,70.49,
zimi,pass,16,0,0,0,2.65,
zinvolt,pass,12,0,0,0,2.77,
zodiac,pass,5,0,0,0,2.31,
zwave_js,pass,611,0,0,0,60.17,
zwave_me,pass,8,0,0,0,2.24,
